modulo;temps_secondes
72;19,623712
73;19,583596
73;19,720075
73;19,491408
74;19,677818
74;19,880821
74;19,523505
75;19,561860
75;21,661765
75;22,578501
76;22,780893
76;21,049185
76;19,663101
77;19,490755
77;19,666634
77;19,519289
78;19,982018
78;19,335821
78;19,353350
79;19,603296
79;20,745690
79;20,088346
80;19,884698
80;20,355642
80;19,874111
81;19,747930
81;19,691038
81;19,695881
82;19,634812
82;19,899913
82;20,070132
83;19,688652
83;19,792778
83;19,619931
84;19,472733
84;19,438574
84;19,491510
85;19,592445
85;19,316761
85;19,297973
86;19,533827
86;19,756147
86;19,608101
87;19,787146
87;19,810444
87;19,640009
88;19,729256
88;19,548458
88;19,693911
89;19,698230
89;19,790633
89;19,924019
90;20,249059
90;19,788034
90;19,692815
91;19,684688
91;19,673624
91;19,742672
92;19,920255
92;19,618889
92;19,999344
93;20,474394
93;21,107886
93;20,416277
94;19,872602
94;19,635932
94;19,474661
95;19,509855
95;19,433963
95;19,704389
96;19,582627
96;19,665398
96;19,506265
97;19,328317
97;20,358635
97;20,663441
98;19,704254
98;19,728335
98;20,124545
99;19,708377
99;19,702265
99;19,672281
100;19,519378
100;19,527921
100;19,491761
101;19,702786
101;19,443680
101;19,510248
102;19,655672
102;19,488682
102;19,659047
103;19,645174
103;20,057438
103;19,729014
104;19,589652
104;19,558193
104;19,838307
105;19,742794
105;19,726949
105;19,933477
106;19,709468
106;19,723438
106;19,689262
107;20,042951
107;20,037146
107;20,216050
108;20,623482
108;19,882552
108;19,975287
109;19,800611
109;19,872538
109;19,842543
110;20,093199
110;20,065286
110;20,236200
111;20,300830
111;19,910797
111;20,254021
112;19,951177
112;20,001881
112;20,264611
113;20,257751
113;20,301489
113;20,491098
114;20,167695
114;20,139396
114;20,185419
115;20,428693
115;20,154974
115;20,093135
116;20,066914
116;20,129064
116;20,294433
117;20,384688
117;20,334749
117;20,256103
118;20,315358
118;20,413169
118;20,714882
119;20,057753
119;22,425073
119;22,388941
120;20,088996
120;20,184137
120;20,105793
121;20,124664
121;20,124288
121;20,241656
122;20,113420
122;20,018011
122;20,079707
123;20,207989
123;20,269073
123;20,219246
124;20,555515
124;20,427106
124;20,408282
125;20,309995
